type,two_factor_authentication,multi_factor_authentication,security_monitoring,data_privacy_policy,secure_file_uploads,secure_file_uploads_policies__properties__secure_file_name,secure_file_uploads_policies__properties__malware_scan,secure_file_uploads_policies__properties__audit_logging,secure_file_uploads_policies__properties__sandboxing,secure_file_uploads_policies__properties__encryption__in_transit,secure_file_uploads_policies__properties__encryption__at_rest,ssl_encryption_required,permissions,explicite_allowed_resources,other_resources
customer,TRUE,TRUE,TRUE,FALSE,TRUE,beautiful_world.jpeg,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,none,product_info.txt,TRUE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
admin,FALSE,TRUE,TRUE,TRUE,TRUE,beautiful_day.cmd,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,sales.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,brave_flower.exe,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
employee,FALSE,TRUE,TRUE,TRUE,TRUE,brave_sun.jpeg,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,read,sales.txt,TRUE
anonymous,TRUE,FALSE,TRUE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_bird.mp4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,userId_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_flower.mp4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,none,product_info.txt,TRUE
employee,TRUE,TRUE,TRUE,FALSE,TRUE,clever_bird.csv,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,read,reports.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,unknown,happy_flower.mp4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,read,product_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,creative_flower.xlsx,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,unknown,beautiful_world.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,userId_info.txt,TRUE
anonymous,TRUE,TRUE,TRUE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
employee,TRUE,FALSE,TRUE,TRUE,TRUE,creative_ocean.bat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,reports.txt,FALSE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,clever_bird.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,create,sales.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_ocean.txt,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,create,userId_info.txt,TRUE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
admin,TRUE,TRUE,FALSE,TRUE,TRUE,creative_flower.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
admin,TRUE,TRUE,TRUE,TRUE,TRUE,clever_bird.png,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,write,sales.txt,FALSE
employee,TRUE,FALSE,FALSE,TRUE,TRUE,creative_flower.img,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_flower.jpeg,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,write,product_info.txt,TRUE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_flower.img,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,delete,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_world.txt,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,delete,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,brave_flower.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,TRUE
admin,TRUE,TRUE,FALSE,FALSE,TRUE,creative_flower.jpeg,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,read,product_info.txt,FALSE
employee,TRUE,TRUE,FALSE,FALSE,TRUE,beautiful_world.pdf,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,create,sales.txt,FALSE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,FALSE,TRUE,TRUE,happy_sun.py,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_bird.png,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,delete,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_world.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,create,product_info.txt,TRUE
customer,FALSE,TRUE,FALSE,TRUE,TRUE,beautiful_ocean.txt,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,write,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,creative_sun.xlsx,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,create,product_info.txt,FALSE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,creative_day.ps1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,none,sales.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,brave_day.js,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,create,userId_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,creative_flower.cmd,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,FALSE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,creative_world.csv,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_sun.txt,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,create,NULL,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,sunny_world.csv,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,read,product_info.txt,FALSE
customer,TRUE,TRUE,TRUE,TRUE,unknown,brave_world.mp4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,create,product_info.txt,FALSE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,creative_bird.js,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,delete,product_info.txt,TRUE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,beautiful_flower.cmd,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,read,sales.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,unknown,clever_sun.mp4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,FALSE
anonymous,FALSE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,FALSE,FALSE,creative_flower.txt,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,read,product_info.txt,FALSE
employee,FALSE,TRUE,FALSE,TRUE,TRUE,clever_day.jpeg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,none,NULL,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_sun.pdf,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
employee,FALSE,TRUE,TRUE,TRUE,TRUE,happy_day.py,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,create,product_info.txt,FALSE
customer,TRUE,FALSE,FALSE,FALSE,TRUE,clever_ocean.img,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,none,userId_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_ocean.xlsx,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,create,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,happy_bird.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,FALSE
anonymous,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,FALSE,FALSE,FALSE,FALSE,beautiful_ocean.csv,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,FALSE,TRUE,clever_world.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,TRUE,unknown,happy_sun.vbs,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,create,product_info.txt,TRUE
customer,TRUE,FALSE,FALSE,TRUE,TRUE,beautiful_bird.jpeg,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,none,product_info.txt,TRUE
employee,FALSE,FALSE,TRUE,TRUE,TRUE,brave_ocean.img,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,reports.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_bird.jpeg,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,read,product_info.txt,FALSE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_ocean.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,delete,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,brave_world.jpeg,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,write,userId_info.txt,TRUE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,sunny_ocean.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,sales.txt,TRUE
customer,FALSE,TRUE,FALSE,TRUE,TRUE,sunny_day.img,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,read,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,TRUE,FALSE,clever_day.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,creative_bird.jpeg,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_bird.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,FALSE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,FALSE,TRUE,TRUE,TRUE,unknown,creative_flower.js,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,none,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_flower.mp4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,FALSE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_ocean.csv,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,clever_day.xlsx,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,NULL,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_sun.js,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,none,NULL,TRUE
admin,TRUE,FALSE,TRUE,TRUE,TRUE,creative_flower.bat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,delete,sensitve_data.txt,TRUE
customer,FALSE,TRUE,TRUE,FALSE,TRUE,creative_day.mp4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,none,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,unknown,creative_bird.txt,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,none,product_info.txt,FALSE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,creative_world.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,userId_info.txt,FALSE
anonymous,FALSE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,FALSE,TRUE,TRUE,brave_flower.pdf,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,none,product_info.txt,FALSE
employee,TRUE,TRUE,FALSE,TRUE,TRUE,creative_bird.xlsx,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,read,reports.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,brave_ocean.pdf,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,delete,sales.txt,FALSE
employee,FALSE,TRUE,TRUE,TRUE,TRUE,beautiful_ocean.pdf,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,create,reports.txt,TRUE
customer,TRUE,FALSE,FALSE,TRUE,TRUE,happy_ocean.jar,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,read,product_info.txt,FALSE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_ocean.csv,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,none,reports.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_bird.png,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,write,product_info.txt,TRUE
customer,FALSE,TRUE,FALSE,TRUE,TRUE,happy_bird.jar,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,create,NULL,TRUE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,happy_world.txt,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,write,NULL,TRUE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,unknown,brave_bird.pdf,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,read,product_info.txt,TRUE
admin,TRUE,TRUE,FALSE,FALSE,unknown,brave_day.exe,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,write,reports.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,unknown,brave_ocean.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,NULL,TRUE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,clever_world.png,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,read,product_info.txt,FALSE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,brave_sun.xlsx,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,create,userId_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,creative_ocean.png,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,create,userId_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_bird.png,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,userId_info.txt,TRUE
employee,FALSE,FALSE,TRUE,TRUE,TRUE,brave_sun.py,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,create,product_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,creative_world.txt,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,create,sales.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,brave_day.txt,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,delete,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,unknown,brave_flower.xlsx,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,none,userId_info.txt,TRUE
employee,TRUE,TRUE,TRUE,FALSE,TRUE,happy_bird.csv,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,read,sales.txt,TRUE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,brave_flower.png,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,read,reports.txt,TRUE
customer,FALSE,TRUE,FALSE,TRUE,TRUE,clever_flower.txt,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,create,product_info.txt,TRUE
anonymous,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,FALSE,TRUE,creative_bird.png,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,none,userId_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,clever_flower.xlsx,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,create,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,brave_world.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,read,product_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,happy_day.cmd,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,none,product_info.txt,FALSE
anonymous,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,FALSE,FALSE,FALSE,TRUE,brave_sun.js,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,write,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,happy_world.img,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,delete,product_info.txt,TRUE
anonymous,TRUE,TRUE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_ocean.py,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
employee,TRUE,FALSE,TRUE,TRUE,TRUE,happy_world.pdf,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,create,reports.txt,TRUE
admin,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_bird.exe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,FALSE
admin,TRUE,TRUE,TRUE,FALSE,TRUE,beautiful_flower.img,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,none,NULL,FALSE
employee,TRUE,FALSE,TRUE,TRUE,unknown,clever_bird.csv,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,TRUE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,beautiful_day.xlsx,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,userId_info.txt,TRUE
admin,TRUE,TRUE,TRUE,TRUE,unknown,beautiful_bird.py,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,delete,sales.txt,TRUE
customer,FALSE,TRUE,FALSE,TRUE,FALSE,beautiful_ocean.ps1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,read,userId_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,sunny_sun.img,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,create,NULL,TRUE
admin,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_day.mp4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,write,sales.txt,FALSE
admin,TRUE,TRUE,TRUE,FALSE,TRUE,clever_bird.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,FALSE
employee,TRUE,TRUE,FALSE,TRUE,TRUE,clever_ocean.png,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,write,sales.txt,FALSE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_ocean.vbs,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,none,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,TRUE,TRUE,sunny_ocean.mp4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
employee,TRUE,TRUE,FALSE,TRUE,TRUE,happy_world.txt,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,read,sales.txt,TRUE
employee,TRUE,TRUE,TRUE,FALSE,TRUE,beautiful_day.pdf,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,read,reports.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,brave_flower.csv,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,write,product_info.txt,TRUE
anonymous,TRUE,FALSE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
anonymous,FALSE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,FALSE,TRUE,TRUE,FALSE,unknown,beautiful_world.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,write,userId_info.txt,FALSE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,clever_world.jpeg,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,none,userId_info.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,creative_bird.msi,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,write,product_info.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,happy_world.xlsx,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,none,product_info.txt,FALSE
customer,TRUE,FALSE,TRUE,TRUE,TRUE,clever_flower.img,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,none,NULL,TRUE
employee,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_world.jpeg,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,none,product_info.txt,FALSE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,sunny_world.csv,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,delete,product_info.txt,TRUE
admin,FALSE,TRUE,TRUE,TRUE,TRUE,beautiful_world.exe,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,write,NULL,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,sunny_day.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,none,NULL,TRUE
employee,FALSE,FALSE,FALSE,TRUE,FALSE,beautiful_world.img,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,reports.txt,TRUE
admin,TRUE,TRUE,TRUE,TRUE,FALSE,clever_bird.png,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,read,sales.txt,TRUE
customer,FALSE,TRUE,TRUE,FALSE,FALSE,sunny_world.mp4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,none,userId_info.txt,TRUE
anonymous,TRUE,TRUE,FALSE,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,FALSE,unknown,creative_flower.png,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,brave_bird.pdf,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,write,product_info.txt,FALSE
anonymous,TRUE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
admin,TRUE,FALSE,TRUE,TRUE,TRUE,creative_day.jpeg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,create,reports.txt,FALSE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,brave_sun.txt,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,beautiful_ocean.txt,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,read,userId_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,clever_bird.csv,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,write,product_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,clever_sun.csv,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,write,userId_info.txt,TRUE
employee,TRUE,TRUE,TRUE,TRUE,unknown,beautiful_ocean.xlsx,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,create,product_info.txt,TRUE
customer,FALSE,TRUE,TRUE,TRUE,TRUE,sunny_ocean.img,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,read,product_info.txt,TRUE
anonymous,FALSE,TRUE,TRUE,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
customer,TRUE,TRUE,TRUE,TRUE,TRUE,clever_bird.csv,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,read,userId_info.txt,TRUE
customer,TRUE,TRUE,TRUE,FALSE,TRUE,creative_world.cmd,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,write,product_info.txt,TRUE
employee,TRUE,TRUE,FALSE,TRUE,TRUE,sunny_day.mp4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,delete,product_info.txt,FALSE
admin,TRUE,TRUE,TRUE,TRUE,TRUE,beautiful_day.pdf,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,write,reports.txt,TRUE
customer,TRUE,FALSE,FALSE,FALSE,TRUE,brave_flower.xlsx,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,read,product_info.txt,FALSE
customer,TRUE,TRUE,FALSE,TRUE,TRUE,happy_flower.bat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,read,userId_info.txt,FALSE
customer,FALSE,TRUE,TRUE,FALSE,TRUE,brave_ocean.pdf,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,write,userId_info.txt,TRUE
