,client,userid,datetime,method,request,status,size,referer,user_agent
17,2.181.234.31,-,26/Jan/2019:20:29:10 +0330,GET,/m/product/32612/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-S9-Plus-%282018%29-Dual-128GB-%28SM-G965FD%29,200,22056,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b1,p62,stexists?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D","Mozilla/5.0 (Linux; Android 4.2.2; H30-U10 Build/HuaweiH30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36"" "
18,66.249.66.92,-,26/Jan/2019:20:29:10 +0330,GET,/image/62495/productModel/150x150,200,3014,-,"Googlebot-Image/1.0"" "
19,5.120.204.67,-,26/Jan/2019:20:29:10 +0330,GET,/m/browse/food-processor/%D8%BA%D8%B0%D8%A7-%D8%B3%D8%A7%D8%B2,200,19642,-,"Mozilla/5.0 (Linux; Android 5.0.2; SM-A500H Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/43.0.2357.121 Mobile Safari/537.36 ACHEETAHI/1"" "
20,5.125.216.51,-,26/Jan/2019:20:29:10 +0330,GET,/image/19/productTypeType,200,11332,https://www.zanbil.ir/m/filter/b146%2Cb36%2Cb8%2Cp3,"Mozilla/5.0 (Android 5.1.1; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0"" "
21,89.34.145.228,-,26/Jan/2019:20:29:10 +0330,GET,/m/search/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF%E2%80%8C%D8%AC%DB%8C-6-,200,17010,https://www.zanbil.ir/m/filter/b1%2Cp62,"Mozilla/5.0 (Linux; Android 8.1.0; TA-1021) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"" "
22,151.239.2.90,-,26/Jan/2019:20:29:08 +0330,GET,/search/%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF/p0,499,0,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
23,151.239.2.90,-,26/Jan/2019:20:29:09 +0330,GET,/site/prepareSearch?f=p0&phrase=%D8%B3%D8%B1%D8%B1%D8%B3%DB%8C%D8%AF,302,0,https://www.zanbil.ir/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0"" "
24,66.249.66.91,-,26/Jan/2019:20:29:09 +0330,GET,/filter/b874%2Cb226%2Cb570%2Cb270%2Cb903%2Cb883%2Cb99%2Cb152%2Cb249%2Cb20%2Cb701%2Cb723%2Cb42%2Cb35%2Cb183%2Cb219%2Cb308%2Cb126%2Cb900%2Cb188%2Cb890%2Cb148%2Cb236%2Cb74%2Cb400%2Cb209%2Cb651%2Cb202%2Cb4%2Cb22%2Cb6%2Cb596%2Cb143%2Cb82%2Cb877%2Cb194%2Cb136%2Cb647%2Cb105%2Cb95%2Cb568%2Cb151%2Cb88%2Cb43%2Cb820%2Cb645%2Cb168%2Cb50%2Cb221%2Cb441%2Cb80%2Cb442%2Cb861%2Cb724%2Cb103%2Cb854%2Cb186%2Cb435%2Cb584%2Cb615%2Cb8%2Cb256%2Cb238?page=6,200,40876,-,"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" "
25,192.15.51.231,-,26/Jan/2019:20:29:09 +0330,GET,/image/4125?name=72550.jpg&wh=max,200,55888,https://www.zanbil.ir/m/product/4125/205/%D8%B3%DB%8C%D9%86%DA%A9-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%B1%D9%88%DA%A9%D8%A7%D8%B1-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A7%D9%84%D8%A8%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%BE%D9%84%D8%A7%D8%B3-725-50,"Mozilla/5.0 (Linux; Android 4.4.4; SM-J110H Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36"" "
26,66.249.66.92,-,26/Jan/2019:20:29:09 +0330,GET,/filter/b481%2Cb874%2Cb226%2Cb570%2Cb598%2Cstexists%2Cb270%2Cb883%2Cb99%2Cb249%2Cb20%2Cb701%2Cb879%2Cb548%2Cb183%2Cb88%2Cb308%2Cb103%2Cb1%2Cb523%2Cb900%2Cb188%2Cb703%2Cb890%2Cb148%2Cb651%2Cb41%2Cb647%2Cb22%2Cb613%2Cb6%2Cb221%2Cb36%2Cb614%2Cb3%2Cb216%2Cb136%2Cb573%2Cb151%2Cb185%2Cb32%2Cb441%2Cb143%2Cb203%2Cb877%2Cb209%2Cb231%2Cb147%2Cb484%2Cb543%2Cb795%2Cb152%2Cb5%2Cb74%2Cb435%2Cb400?page=3,200,40547,-,"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" "
27,188.159.245.53,-,26/Jan/2019:20:29:09 +0330,GET,/image/33153/productModel/200x200,200,4870,https://www.zanbil.ir/m/browse/steam-cleaner/%D8%A8%D8%AE%D8%A7%D8%B1%D8%B4%D9%88%DB%8C,"Mozilla/5.0 (Linux; U; Android 4.1.2; fa-fa; GT-I9070 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"" "
28,46.225.214.29,-,26/Jan/2019:20:29:09 +0330,GET,/image/32121?name=hm312-14.jpg&wh=max,200,28616,https://www.zanbil.ir/m/product/32121/62389/%D9%87%D9%85%D8%B2%D9%86-%D9%85%D8%B9%D9%85%D9%88%D9%84%DB%8C-%D9%85%D9%88%D9%84%DB%8C%D9%86%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-HM312,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-G531H Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/3.3 Chrome/38.0.2125.102 Mobile Safari/537.36"" "
